timestamp,user_query,example_1_id,example_1_snippet,example_2_id,example_2_snippet,prompt_token_count,completion_token_count,total_token_count,error
2025-11-03T17:06:39.953628,give me January month total asset,,,,,4927,1,4928,
2025-11-03T17:07:45.304093,give me jan and feb month total deposit,,,,,4567,1,4568,
2025-11-03T17:23:40.057535,Give me this month net income,,,,,4772,1,4773,
2025-11-03T17:24:14.655847,give me current month net income,,,,,4772,1,4773,
2025-11-03T17:24:41.448064,give me last 2 month interest income,,,,,4520,1,4521,
2025-11-03T17:34:52.089832,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T17:36:28.553992,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T17:39:12.220747,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T17:40:23.626719,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T17:40:57.833658,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T17:41:30.462333,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T17:42:05.408333,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T18:19:32.913455,give me nov month total deposit,,,,,4480,1,4481,
2025-11-03T18:20:54.041482,give me total asset and total liability for last year dec and october month,,,,,4743,1,4744,
2025-11-03T18:33:42.947795,give me last year mar and may deposit,,,,,4879,1,4880,
2025-11-03T18:34:16.934931,give me last year mar and may total income,,,,,4920,1,4921,
2025-11-03T18:43:37.967381,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T18:47:19.243124,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-03T18:57:07.941057,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:10:11.838681,give me june month net income,,,,,4640,1,4641,
2025-11-04T10:33:06.833817,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:33:17.918314,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:36:00.832938,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:36:30.208468,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:38:11.161685,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:38:29.442219,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:39:46.780305,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:41:43.184538,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:45:14.369431,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:45:49.558340,Give me the Segment wise revenue with Grand Total,,,,,3942,1,3943,
2025-11-04T10:46:25.958728,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:48:53.469821,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:49:20.487303,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:50:17.458168,what is the eop balance,,,,,3555,1,3556,
2025-11-04T10:52:01.385080,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:55:37.145750,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:55:55.831177,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:56:21.984134,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:56:40.445680,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:57:05.311772,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:57:10.233290,give me market month total balance,,,,,4601,1,4602,
2025-11-04T10:57:26.542083,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:58:32.255168,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T10:58:40.501290,give me janury month today deposit,,,,,4475,1,4476,
2025-11-04T11:00:11.118924,give me jan month total balance,,,,,4633,1,4634,
2025-11-04T11:00:54.602297,give me janury month total deposit,,,,,4481,1,4482,
2025-11-04T11:01:37.245241,give me market month total balance,,,,,4601,1,4602,
2025-11-04T11:03:57.553994,give me marh month total deposit,,,,,4481,1,4482,
2025-11-04T11:04:15.850647,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:04:32.308210,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:09:32.429692,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:12:30.749154,Give me female customers total deposit,,,,,3819,1,3820,
2025-11-04T11:13:19.899404,What is the net income for last quarter,,,,,3727,1,3728,
2025-11-04T11:14:19.034759,Give me current quarter interest income,,,,,3905,1,3906,
2025-11-04T11:15:02.641902,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:15:28.465425,Branch wise Total deposits and Loanss,,,,,3821,1,3822,
2025-11-04T11:17:15.792846,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:17:48.640746,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:18:29.344077,Branch wise Total deposits and Loanss,,,,,3821,1,3822,
2025-11-04T11:19:01.573898,Branch wise Total deposits and Loan,,,,,3755,1,3756,
2025-11-04T11:20:45.231533,Compare the split between LCY and FCY of Deposit for Kenya MTD.,,,,,4599,1,4600,
2025-11-04T11:20:54.111591,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:21:49.309452,Give me female customers total deposit,,,,,3819,1,3820,
2025-11-04T11:23:52.617315,Give me female customers total depositfvfvf,,,,,3830,1,3831,
2025-11-04T11:29:18.911103,Give me female customers total deposit,,,,,3819,1,3820,
2025-11-04T11:29:34.251803,Give me the account wise saving account balance whose balance < 100,,,,,3344,1,3345,
2025-11-04T11:30:39.723687,"Give me the branch wise interest income , interest expense along with the Total",,,,,4102,1,4103,
2025-11-04T11:32:10.848873,What is the Total Deposit for today,,,,,3469,1,3470,
2025-11-04T11:32:33.171690,Give me female customers total depositfvfvf,,,,,3827,1,3828,
2025-11-04T11:32:50.729141,Give me the PBT for this month,,,,,4652,1,4653,
2025-11-04T11:33:40.784647,What is the net income for last month,,,,,4593,1,4594,
2025-11-04T11:33:47.490072,Give me female customers total depositfvfvf,,,,,3827,1,3828,
2025-11-04T11:34:37.682424,Segment wise Total Loans and deposits along with row and column total,,,,,3972,1,3973,
2025-11-04T11:37:52.309816,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:38:22.069896,Segment wise Total Loans and deposits along with row and column total  for the May Month,,,,,5115,1,5116,
2025-11-04T11:42:25.334790,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:42:49.462846,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:43:15.074734,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:43:54.832876,what is the eop balance,,,,,3555,1,3556,
2025-11-04T11:43:59.198594,Branch wise NFI for this month,,,,,4678,1,4679,
2025-11-04T11:49:22.037243,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:49:41.723727,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:50:00.745869,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:50:27.858973,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:51:03.295850,what is the eop balance,,,,,3555,1,3556,
2025-11-04T11:51:26.901195,Branch wise NFI for this month and last month,,,,,4916,1,4917,
2025-11-04T11:52:05.108034,what is the eop balance,,,,,3547,1,3548,
2025-11-04T11:53:12.970014,what is the eop balance,,,,,3555,1,3556,
2025-11-04T11:54:08.602213,what is the eop balance,,,,,3555,1,3556,
2025-11-04T11:56:57.368140,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:57:18.934000,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:57:38.576249,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:59:08.071205,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:59:27.999393,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T11:59:56.757402,what is the eop balance,,,,,3555,1,3556,
2025-11-04T12:00:49.925105,what is the eop balance,,,,,3555,1,3556,
2025-11-04T12:05:13.392723,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:07:39.107853,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:09:40.500667,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:10:24.456860,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:10:53.918924,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:11:27.545413,Branch wise Total deposits and Loans,,,,,3755,1,3756,
2025-11-04T12:12:03.550890,what is the eop balance,,,,,3555,1,3556,
2025-11-04T12:12:42.913516,what is the eop balance ?,,,,,3558,1,3559,
2025-11-04T12:21:23.707385,Branch wise Total deposits and Loans,,,,,3755,1,3756,
