query,hierarchy_data
"Acceptance, Endorsement & Guar","{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Other Liabilities""],""level_3"":[""Other Liability""],""level_4"":[""Guarantees""],""level_5"":[""Acceptance, Endorsement & Guar""],""level_6"":[""Acceptance, Endorsement & Guar""]}}"
Acceptances/Collections,"{""liabilities"":{""level_1"":[""Liabilities""],""level_2"":[""Contingent Liability""],""level_3"":[""Contingent Liability""],""level_4"":[""Contingent Liability""],""level_5"":[""Acceptances/Collections""],""level_6"":[""Acceptances/Collections""]}}"
Acceptances/Collections,"{""assets"":{""level_1"":[""Assets""],""level_2"":[""Contingent Asset""],""level_3"":[""Non-Funded Assets""],""level_4"":[""Non-Funded Assets""],""level_5"":[""Acceptances/Collections""],""level_6"":[""Acceptances/Collections""]}}"
Account with Banks in  Kenya (FCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Cash and Cash Equivalents""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Account with Local Banks""],""level_6"":[""Account with Banks in  Kenya""]}}"
Account with Banks in  Kenya (LCY),"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Cash and Cash Equivalents""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Account with Local Banks""],""level_6"":[""Account with Banks in  Kenya""]}}"
Account with Central Bank,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Cash and Cash Equivalents""],""level_3"":[""Cash Equivalents""],""level_4"":[""Cash Equivalents""],""level_5"":[""Account with Central Bank""]}}"
Account with Foreign Banks,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Cash and Cash Equivalents""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Account with Local Banks""],""level_6"":[""Account with Foreign Banks""]}}"
Account with Local Banks,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Balances with Other Banks""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Account with Local Banks""]}}"
Account with Private Banks,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Cash and Cash Equivalents""],""level_3"":[""Due from Banks""],""level_4"":[""Due from Banks""],""level_5"":[""Account with Local Banks""],""level_6"":[""Account with Private Banks""]}}"
Accum Amortization-Prepaid Operating Lease,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Prepaid Operating Lease""],""level_6"":[""Accum Amortization-Prepaid Operating Lease""]}}"
Accum Depr: Furniture; Fittings & Fixtures,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Furniture; Fittings & Fixtures""],""level_6"":[""Accum Depr: Furniture; Fittings & Fixtures""]}}"
Accum Depreciation:Leasehold lmprovement,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Leasehold lmprovement""],""level_6"":[""Accum Depreciation:Leasehold lmprovement""]}}"
Accumated Depreciation,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""]}}"
Accumulated Depreciation:Computer Hardware,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Computer Hardware""],""level_6"":[""Accumulated Depreciation:Computer Hardware""]}}"
Accumulated Depreciation:Leasehold Building,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Leasehold Building""],""level_6"":[""Accumulated Depreciation:Leasehold Building""]}}"
Accumulated Depreciation:Motor Vehicles,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Motor Vehicles""],""level_6"":[""Accumulated Depreciation:Motor Vehicles""]}}"
Accumulated Depreciation:Motor Vehicles,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Motor Vehicles""],""level_6"":[""Accumulated Depreciation:Motor Vehicles""]}}"
Accumulated Depreciation:Software,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Fixed Asset""],""level_3"":[""Fixed Asset""],""level_4"":[""Accumated Depreciation""],""level_5"":[""Software""],""level_6"":[""Accumulated Depreciation:Software""]}}"
Advances,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Loan Loss Provision""],""level_3"":[""Provision""],""level_4"":[""General""],""level_5"":[""Advances""]}}"
Advertising & Promotions,"{""expense"":{""level_1"":[""Expenses""],""level_2"":[""Other Expense""],""level_3"":[""Other Expense""],""level_4"":[""Other Expense""],""level_5"":[""Advertising & Promotions""],""level_6"":[""Advertising & Promotions""]}}"
AFS,"{""asset"":{""level_1"":[""Assets""],""level_2"":[""Funded Assets""],""level_3"":[""Commercial Papers""],""level_4"":[""Commercial Papers""],""level_5"":[""AFS""]}}"
